# Purpose: Record the exit code of each `npm run rewind` invocation for this head, written as each
#          run finished rather than summarised afterwards.
# Why: The per-seam rewind-<SeamName>.txt files hold a suite's output but not the command's exit
#      status, and an earlier revision of verify-chain.txt declared "all rewinds exit 0" in a
#      paragraph saved before the first rewind executed. This file is the record that makes that
#      claim checkable instead of remembered.
# Info flow: npm run rewind (x19) -> this log, one line per run -> verify-chain.txt's summary,
#            which reads its counts back from here.
#
# Deliberately named outside the `rewind-*.txt` pattern: it is a summary, not a suite output, and
# while it was called rewind-exit-codes.txt a `ls rewind-*.txt | wc -l` check returned 20 against a
# claimed 19.
#
# Columns: <exit code>  <artifact written>  <the --seam argument, quoted as it must be typed>
#
# 19 rewind runs — started 2026-09-04T21:18:11Z
0  rewind-MeechieToolSeam.txt  --seam "MeechieToolSeam"
0  rewind-SpecValidationSeam.txt  --seam "SpecValidationSeam"
0  rewind-OutputPackagingSeam.txt  --seam "OutputPackagingSeam"
0  rewind-CreationStoreSeam.txt  --seam "CreationStoreSeam"
0  rewind-SessionSeam.txt  --seam "SessionSeam"
0  rewind-ClockSeam.txt  --seam "ClockSeam"
0  rewind-PromptAssemblySeam.txt  --seam "PromptAssemblySeam"
0  rewind-ImageGenerationSeam.txt  --seam "ImageGenerationSeam"
0  rewind-ImageProviderConfigSeam.txt  --seam "ImageProviderConfigSeam"
0  rewind-SafetyPolicySeam.txt  --seam "SafetyPolicySeam"
0  rewind-RateLimitSeam.txt  --seam "RateLimitSeam"
0  rewind-ProviderAdapterSeam.txt  --seam "ProviderAdapterSeam"
0  rewind-DriftDetectionSeam.txt  --seam "DriftDetectionSeam"
0  rewind-MeechieVoiceSeam.txt  --seam "MeechieVoiceSeam"
0  rewind-MeechieVoiceSeam(self-contained).txt  --seam "MeechieVoiceSeam (self-contained)"
0  rewind-DriftDetectionSeam(self-contained).txt  --seam "DriftDetectionSeam (self-contained)"
0  rewind-PromptAssemblySeam(self-contained).txt  --seam "PromptAssemblySeam (self-contained)"
0  rewind-SpecValidationSeam(self-contained).txt  --seam "SpecValidationSeam (self-contained)"
0  rewind-MeechieToolSeam(self-contained).txt  --seam "MeechieToolSeam (self-contained)"
# finished 2026-09-04T21:18:47Z
